gene.name	ceRNA.total.sites	ceRNA.total.fams	shared.sites	shared.fams	shared.sites.rec	shared.fams.rec	target.total.sites	target.total.fams	pval.fams	pval.fams.rec	pval.sites	pval.sites.rec	pval.span	pval.clust	pval.even	pval.span.rec	pval.clust.rec	pval.even.rec	prod1	prod2	prod3	prod4	prod5	score	score.pval
PTEN	39	33	39	33	39	33	39	33	4.57260630853147e-49	4.57260630853147e-49	5.51701282392335e-43	5.51701282392335e-43	0.000420893215104138	1.93040021204916e-49	0.0109495970994727	0.000420893215104138	1.93040021204916e-49	0.0109495970994727	3.04374304993346e-85	2.09087284528218e-97	1.77151098520699e-07	3.72644497867943e-98	0.000119893676640781	133.226573951183	0.000204164965291956
TNRC6B	82	70	28	20	26	20	39	33	5.69635282319563e-09	5.69635282319563e-09	3.54584537978968e-11	1.86419943343307e-19	0.884149455288981	8.88487296375535e-35	0.0341166778835993	9.23180756979952e-05	3.2281216178596e-34	0.0269043522106824	6.61016294804519e-30	3.24484354863288e-17	8.16229763417093e-05	2.86814504862349e-68	0.00116394770981327	55.369456474623	0.000408329930583912
ATXN1L	52	45	24	18	23	18	39	33	8.49361945230132e-11	8.49361945230130e-11	4.20126076712692e-13	1.21138591634388e-15	0.943292596835256	2.76187612791786e-27	0.0334752240166005	0.0158975387700503	1.22429131779331e-29	0.0356723953923558	5.08934812418562e-28	7.21415714005113e-21	0.0149960306296899	3.38134096423044e-56	0.00112059062296159	49.5887672819109	0.000612494895875868
NUFIP2	139	99	31	19	25	19	39	33	2.5554939520961e-05	2.55549395209609e-05	2.96098020336851e-07	3.87080303530141e-18	0.00736522215491557	3.10002011226563e-32	0.0186001440667371	0.0114590962099128	1.24255208918628e-30	0.0306558267077508	1.14613711586662e-24	6.53054933919971e-10	8.43987892805589e-05	3.85193646701515e-62	0.000345965359303376	47.0071668020931	0.000816659861167824
UBN2	59	48	22	15	21	15	39	33	3.87655316593658e-07	3.87655316593657e-07	6.28030548563445e-10	2.51345274503942e-13	0.106503982658031	2.01031285485312e-30	0.0381984268040321	0.0252691242891241	1.21070274677435e-26	0.0398956741831457	1.57852510625541e-22	1.50276644483329e-13	0.0026912623750725	2.43389129524646e-56	0.001459119810303	44.045924059106	0.00102082482645978
PURA	91	72	26	17	22	17	39	33	4.32780553733223e-06	4.32780553733224e-06	1.28996809834782e-08	1.83525407180322e-14	0.0396263543945413	6.01451741094643e-31	0.0372869047454861	0.0226664733188187	2.84429598048084e-26	0.0380782721177221	2.3674192049891e-22	1.87299007689636e-11	0.000898189704605925	1.71070676964869e-56	0.00139031326549896	43.2994371155019	0.00122498979175174
TNRC6A	90	68	23	15	20	15	39	33	5.83316338959673e-05	5.83316338959671e-05	7.82706219284526e-07	3.11526074386283e-12	5.84012685354368e-11	5.50821864520424e-31	0.0321961865473567	0.0354447771852258	2.76055839803417e-21	0.0436875912519668	2.43833395891437e-18	3.40257951297315e-09	2.0700199505731e-12	1.5205759239227e-51	0.00103659442819219	42.168395332909	0.00142915475704369
TAOK1	117	91	30	17	22	17	39	33	0.000149137586168512	0.000149137586168511	1.64425596647614e-08	1.83525407180322e-14	0.90180416951037	1.58582520602453e-30	0.0209461291036272	0.0200586665853896	4.67027299436745e-28	0.0405503446390528	3.01762745756207e-22	2.22420196081702e-08	0.0180889891615226	7.40623663348355e-58	0.000438740324425819	42.093070270164	0.00163331972233565
G3BP1	88	64	30	15	19	15	39	33	2.56773519321539e-05	2.56773519321539e-05	7.54081117023106e-12	3.49654721758238e-11	0.0423532558974356	2.2914977902032e-32	0.0216047369232137	0.0398910797908808	2.65838363492911e-20	0.0475360215371489	2.63668023155856e-22	6.59326402247687e-10	0.0016895171104082	6.09168022495241e-52	0.000466764657521275	40.5615305205676	0.0018374846876276
MTF1	34	33	17	16	21	16	39	33	4.29921756848877e-11	4.29921756848877e-11	2.23973543159868e-10	2.51345274503942e-13	0.71338014278523	4.83589807323267e-16	0.057801519652301	0.0252691242891241	5.96155974633096e-24	0.0411974908935384	5.62946916871377e-23	1.84832717012025e-21	0.0180264914934331	2.88294952907433e-39	0.00334101567411534	39.4861691869626	0.00204164965291956
